"Region","Class","Province","HR","Index_of_remoteness","Area_sq_km","Population","Dwellings","Households","Cpls_w_0_ch","Cpls_w_children","Cpls_w_1_ch","Cpls_w_2_ch","Cpls_w_3_or_more_ch","Sgls_w_ch","Sgls_w_1_ch","Sgls_w_2_ch","Sgls_w_3_or_more_ch","Not_in_families","Commute_wi_CSD","Commute_wi_CD_not_CSD","Commute_wi_prov_not_CD","Commute_extra_prov","Population_Density","MIZ_score"
"Snipe Lake No. 259","Moderate","Saskatchewan","Heartland Regional Health Authority","0.3644",1648.25584,396,300,176,85,45,20,20,5,5,0,0,0,45,0,70,15,0,0.3,2
"Eston","Moderate","Saskatchewan","Heartland Regional Health Authority","0.3738",2.71888,1061,548,470,140,110,30,50,30,30,25,10,0,210,290,45,40,10,390.3,2
"Elrose","Weak","Saskatchewan","Heartland Regional Health Authority","0.3399",2.89708,496,247,213,85,50,15,15,10,10,5,0,0,80,145,0,55,0,175.9,1
"Calder No. 241","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4235",822.55442,370,189,166,70,30,10,15,10,15,15,0,0,55,0,50,10,10,0.5,2
"Calder","Strong","Saskatchewan","Sunrise Regional Health Authority","0.4463",0.74605,90,67,54,15,5,5,0,0,5,0,5,0,30,0,0,0,0,120.6,3
"Wallace No. 243","Strong","Saskatchewan","Sunrise Regional Health Authority","0.3376",866.73566,852,399,347,140,105,30,50,30,20,10,5,5,100,10,210,25,0,1,3
"Orkney No. 244","CA","Saskatchewan","Sunrise Regional Health Authority","0.3362",832.38625,1875,796,734,320,240,75,105,60,40,20,10,5,180,30,625,55,0,2.3,4
"Yorkton","CA","Saskatchewan","Sunrise Regional Health Authority","0.3344",37.02095,16343,7394,6950,2040,1725,685,710,330,770,460,195,115,3175,6155,385,405,40,449.9,4
"Ebenezer","CA","Saskatchewan","Sunrise Regional Health Authority","0.3406",0.62189,185,79,73,25,25,10,15,5,5,0,5,0,30,0,65,0,0,297.5,4
"Springside","CA","Saskatchewan","Sunrise Regional Health Authority","0.3481",0.67511,502,236,222,70,55,20,20,10,20,10,10,5,95,30,170,10,0,743.5,4
"Garry No. 245","Strong","Saskatchewan","Sunrise Regional Health Authority","0.3586",870.84198,364,146,141,55,50,20,20,15,15,10,0,0,30,10,30,10,0,0.4,3
"Insinger No. 275","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4241",866.07061,315,196,147,65,30,15,10,5,10,5,5,5,45,0,25,15,0,0.4,2
"Theodore","Strong","Saskatchewan","Sunrise Regional Health Authority","0.3586",1.78876,323,211,167,60,20,10,10,0,5,5,0,0,85,25,100,20,0,186.6,3
"Good Lake No. 274","Strong","Saskatchewan","Sunrise Regional Health Authority","0.4375",864.39772,747,866,332,185,70,25,20,20,15,10,5,0,80,20,150,10,15,0.9,3
"Canora","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4291",7.41155,2024,1064,982,285,180,70,80,30,85,55,25,10,490,380,205,20,0,277,2
"Sliding Hills No. 273","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4387",865.57371,421,267,191,80,35,15,10,10,15,10,5,5,65,0,95,0,0,0.5,2
"Cote No. 271","Weak","Saskatchewan","Sunrise Regional Health Authority","0.4598",913.69452,548,510,245,135,50,15,20,5,10,5,0,0,60,0,120,15,10,0.6,1
"Kamsack","Weak","Saskatchewan","Sunrise Regional Health Authority","0.4449",5.83391,1898,976,821,220,155,65,55,40,115,65,30,20,410,530,125,25,0,325.3,1
"St. Philips No. 301","Weak","Saskatchewan","Sunrise Regional Health Authority","0.479",694.83932,220,152,98,45,20,10,5,10,5,5,0,0,25,0,20,0,10,0.3,1
"Keys No. 303","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4537",686.08153,390,282,159,80,40,10,15,15,5,5,0,0,35,0,75,0,0,0.6,2
"Buchanan No. 304","Weak","Saskatchewan","Sunrise Regional Health Authority","0.4679",748.87386,301,214,144,60,30,15,10,5,10,5,0,0,55,0,50,0,0,0.4,1
"Buchanan","Weak","Saskatchewan","Sunrise Regional Health Authority","0.4483",1.29182,218,118,106,30,25,10,10,5,10,5,5,5,50,15,20,10,0,168.8,1
"Invermay No. 305","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4532",750.37596,325,156,129,50,40,15,10,15,10,5,0,0,35,0,75,15,0,0.4,2
"Lintlaw","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.4724",1.2315,172,89,76,20,20,10,0,5,10,5,0,0,30,0,20,20,0,139.7,1
"Preeceville No. 334","Weak","Saskatchewan","Sunrise Regional Health Authority","0.4664",1414.11495,919,499,374,150,95,25,35,35,20,15,0,0,125,15,105,15,20,0.7,1
"Preeceville","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4689",3.11951,1125,586,527,165,100,40,40,25,30,20,10,0,260,230,90,15,10,368.2,2
"Sturgis","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4647",3.41449,644,333,295,85,65,20,25,15,25,10,10,5,135,95,75,15,0,188.6,2
"Clayton No. 333","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4929",1418.50424,592,305,252,85,70,35,20,20,15,10,0,0,95,10,115,10,0,0.4,2
"Norquay","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4719",1.68608,434,232,213,70,35,15,15,10,10,5,0,0,100,70,10,0,10,257.4,2
"Cote 64","Weak","Saskatchewan","Sunrise Regional Health Authority","0.4515",84.6482,748,269,220,25,55,15,15,25,110,55,30,30,120,80,40,0,0,8.8,1
"Keeseekoose 66","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.4664",42.50998,491,155,135,20,45,15,10,20,55,20,15,20,70,50,30,0,0,11.7,2
"Ituna Bon Accord No. 246","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.3622",866.32584,374,158,145,55,45,10,15,15,10,5,5,0,45,0,80,15,0,0.4,2
"Ituna","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.3621",1.64756,701,368,316,85,65,30,20,15,30,20,5,10,155,115,10,30,0,449.1,2
"Kellross No. 247","Weak","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.339",855.52217,305,160,138,70,25,10,10,10,10,5,0,0,50,0,50,35,0,0.4,1
"Touchwood No. 248","Moderate","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3581",722.50915,343,147,129,50,35,15,15,10,15,10,5,5,55,0,25,30,0,0.5,2
"Foam Lake","Moderate","Saskatchewan","Sunrise Regional Health Authority","0.3257",6.0599,1141,601,532,180,100,30,50,20,30,15,10,5,235,330,35,35,0,188.3,2
"Big Quill No. 308","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3018",979.08673,519,263,221,115,50,5,25,15,10,10,5,0,55,0,135,10,0,0.7,1
"Wynyard","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.312",5.28809,1798,928,836,235,175,70,70,40,75,45,20,10,385,630,60,80,10,340,1
"Leroy","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3163",2.17075,450,207,182,60,55,15,25,15,15,10,5,0,60,95,15,50,0,207.3,1
"Lakeside No. 338","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.3094",852.95556,415,154,141,55,40,10,20,5,5,5,0,0,45,10,90,25,10,0.7,2
"Watson","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3069",2.82916,697,355,309,110,65,25,25,15,15,10,5,5,130,145,10,60,0,246.4,1
"Quill Lake","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3144",1.30129,387,228,193,65,40,25,15,0,15,5,5,5,90,60,25,30,0,297.4,1
"Wadena","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.3282",2.90533,1288,661,622,180,110,35,45,25,35,20,10,5,315,320,55,35,15,443.3,2
"Muskowekwan 85","Moderate","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3561",69.18417,436,170,150,10,40,10,5,15,50,25,15,10,110,35,10,0,0,6.5,2
"Gordon 86","Moderate","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3595",140.83075,837,238,218,25,80,30,15,30,90,45,20,30,120,75,30,20,0,6.3,2
"Day Star 87","Moderate","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3639",63.84091,148,62,42,5,10,5,0,0,25,15,0,10,25,20,15,10,0,2.6,2
"Poorman 88","Weak","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3477",80.91438,729,196,172,25,65,20,10,40,85,40,20,30,85,45,35,0,0,9.5,1
"Fishing Lake 89","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.4546",34.44573,406,161,128,10,40,15,0,20,50,25,10,10,80,25,25,0,0,12,2
"Big Arm No. 251","Moderate","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.2957",765.81505,191,126,81,40,20,5,5,5,5,0,0,0,20,10,25,0,0,0.3,2
"Imperial","Weak","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.2997",1.23142,360,182,169,55,30,10,10,10,10,5,5,0,75,40,30,0,0,292.4,1
"Arm River No. 252","Weak","Saskatchewan","Heartland Regional Health Authority","0.2879",730.22444,250,109,98,40,35,10,10,10,0,5,0,0,20,0,65,0,0,0.3,1
"Davidson","Moderate","Saskatchewan","Heartland Regional Health Authority","0.2885",4.60169,1048,511,467,150,100,30,50,25,20,10,5,5,235,375,45,20,0,233.6,2
"Willner No. 253","Moderate","Saskatchewan","Heartland Regional Health Authority","0.2991",851.8761,255,102,98,45,35,10,10,10,0,5,5,0,20,0,75,10,0,0.3,2
"Elbow","Moderate","Saskatchewan","Five Hills Regional Health Authority","0.3131",3.93867,337,243,163,75,30,10,10,10,10,10,0,5,60,55,10,0,0,86,2
"Rudy No. 284","Weak","Saskatchewan","Heartland Regional Health Authority","0.2837",836.73692,466,169,155,65,60,20,15,25,5,5,5,5,30,0,110,20,0,0.6,1
"Outlook","Moderate","Saskatchewan","Heartland Regional Health Authority","0.3197",7.83463,2279,1069,971,315,215,65,85,60,70,40,15,10,445,615,75,70,0,290.9,2
"Glenside","Moderate","Saskatchewan","Heartland Regional Health Authority","0.2939",0.76859,76,23,20,5,10,5,0,10,0,0,0,0,5,0,15,0,0,98.9,2
"Rosedale No. 283","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2873",942.78518,526,153,147,60,60,25,20,20,5,0,5,5,25,0,120,0,0,0.6,2
"Hanley","Strong","Saskatchewan","Saskatoon Regional Health Authority","0.2679",2.6523,511,255,236,85,50,20,10,15,15,5,5,0,100,45,125,25,0,192.7,3
"McCraney No. 282","Weak","Saskatchewan","Heartland Regional Health Authority","0.2914",969.58378,310,133,127,50,40,15,15,10,5,0,0,0,35,0,80,0,0,0.3,1
"Kenaston","Moderate","Saskatchewan","Heartland Regional Health Authority","0.2759",1.17013,282,131,126,45,30,5,10,10,5,5,5,0,50,65,45,0,10,240.9,2
"Nokomis","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3012",2.60647,404,221,190,60,35,15,10,10,10,5,5,0,95,120,50,20,0,155,1
"Lanigan","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.2957",8.33496,1377,649,546,200,160,45,75,50,40,25,15,5,175,320,110,95,10,165.2,1
"Morris No. 312","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2835",881.58417,290,140,119,50,35,15,15,5,5,0,0,0,35,0,100,0,0,0.3,2
"Watrous","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2904",11.17127,1900,910,860,270,195,60,75,60,55,45,10,5,375,555,175,45,0,170.1,2
"Manitou Beach","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2976",3.86132,314,370,154,80,20,15,5,0,5,0,0,0,70,45,80,0,0,101.5,2
"Young","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2836",2.51789,244,133,117,40,20,10,10,5,15,5,5,0,55,15,95,0,0,97.2,2
"Lost River No. 313","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.3186",570.29168,242,79,70,25,20,10,5,5,10,5,0,0,25,0,65,0,0,0.4,2
"Viscount No. 341","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.2781",874.15048,338,147,143,70,35,10,10,15,5,0,5,0,40,0,80,25,0,0.4,1
"Viscount","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2797",1.21456,185,129,83,30,20,5,10,5,5,0,5,0,35,10,35,0,0,157.3,2
"Pleasant Valley No. 288","Weak","Saskatchewan","Heartland Regional Health Authority","0.3373",854.00614,302,139,108,40,45,20,10,20,5,5,0,0,25,10,35,15,0,0.4,1
"St. Andrews No. 287","Weak","Saskatchewan","Heartland Regional Health Authority","0.3369",839.69956,522,179,160,65,60,10,30,20,0,0,0,0,35,0,115,15,0,0.6,1
"Rosetown","Moderate","Saskatchewan","Heartland Regional Health Authority","0.3266",12.1468,2451,1187,1122,355,240,90,95,55,75,50,15,15,525,910,45,95,0,201.9,2
"Milden","Weak","Saskatchewan","Heartland Regional Health Authority","0.3385",1.19443,167,112,92,35,10,5,0,10,5,5,5,0,45,20,20,20,0,139.8,1
"Dinsmore","Moderate","Saskatchewan","Heartland Regional Health Authority","0.3502",2.5918,289,150,132,45,25,5,5,10,10,5,10,0,60,35,15,15,0,111.5,2
"Montrose No. 315","Strong","Saskatchewan","Saskatoon Regional Health Authority","0.2946",919.68291,712,299,269,110,90,35,40,20,20,15,5,0,55,10,50,120,10,0.8,3
"Harris","Strong","Saskatchewan","Heartland Regional Health Authority","0.3035",0.72067,193,120,96,30,20,10,5,0,5,5,0,0,40,0,50,30,0,267.8,3
"Marriott No. 317","Moderate","Saskatchewan","Heartland Regional Health Authority","0.3324",855.96131,366,142,124,70,35,10,10,10,10,5,0,5,20,10,55,10,0,0.4,2
"Mountain View No. 318","Weak","Saskatchewan","Heartland Regional Health Authority","0.3468",853.73267,337,129,109,45,30,10,15,10,5,5,5,0,25,10,20,20,0,0.4,1
"Biggar No. 347","Weak","Saskatchewan","Heartland Regional Health Authority","0.3409",1667.65403,798,307,262,120,75,25,25,20,20,10,5,5,65,0,125,30,0,0.5,1
"Biggar","Moderate","Saskatchewan","Heartland Regional Health Authority","0.3081",16.03119,2226,1082,979,310,220,85,80,60,80,50,20,5,440,645,45,90,10,141.4,2
"Perdue","Moderate","Saskatchewan","Heartland Regional Health Authority","0.2994",1.09723,334,176,165,45,30,10,15,5,20,10,5,0,80,45,15,50,0,304.5,2
"Eagle Creek No. 376","Strong","Saskatchewan","Heartland Regional Health Authority","0.3197",862.51739,595,163,149,70,35,15,15,10,0,5,5,0,45,10,20,100,0,0.7,3
"Rosemount No. 378","Weak","Saskatchewan","Heartland Regional Health Authority","0.33",597.13241,201,92,84,35,20,5,5,5,10,0,5,0,25,10,15,25,0,0.4,1
"Battle River No. 438","Strong","Saskatchewan","Prairie North Regional Health Authority","0.3118",1114.01671,1154,464,434,185,150,55,45,50,25,15,5,10,110,35,25,345,0,1.1,3
"Battleford","CA","Saskatchewan","Prairie North Regional Health Authority","0.309",25.01722,4429,1816,1755,555,510,190,220,100,240,135,70,35,585,300,20,1445,15,189.8,4
"Red Pheasant 108","Moderate","Saskatchewan","Prairie North Regional Health Authority","0.3371",100.48397,519,163,136,25,40,15,15,15,70,35,20,20,80,0,10,45,0,5.4,2
"Sweet Grass 113","Strong","Saskatchewan","Prairie North Regional Health Authority","0.3213",160.14211,643,181,169,25,45,10,10,20,100,45,30,25,90,35,0,55,0,4,3
"Kindersley No. 290","Weak","Saskatchewan","Heartland Regional Health Authority","0.3397",2256.49968,1049,401,354,150,120,40,45,40,20,10,5,5,105,0,215,10,10,0.5,1
"Kindersley","Weak","Saskatchewan","Heartland Regional Health Authority","0.3545",13.33963,4571,2063,1879,545,515,195,210,110,165,100,55,15,870,1815,95,40,20,345.6,1
"Milton No. 292","Weak","Saskatchewan","Heartland Regional Health Authority","0.4306",693.94962,241,162,109,35,30,10,10,10,5,0,0,0,50,0,15,0,10,0.4,1
"Antelope Park No. 322","Moderate","Saskatchewan","Heartland Regional Health Authority","0.5498",628.86742,130,61,54,30,10,5,5,5,0,5,0,0,15,15,10,10,0,0.2,2
"Progress No. 351","Weak","Saskatchewan","Heartland Regional Health Authority","0.4471",842.91168,268,135,110,45,35,10,15,5,5,5,5,0,25,0,85,0,0,0.3,1
"Kerrobert","Weak","Saskatchewan","Heartland Regional Health Authority","0.3578",8.51986,1026,497,414,120,105,35,40,35,30,15,10,5,190,290,105,10,10,120.4,1
"Luseland","Moderate","Saskatchewan","Heartland Regional Health Authority","0.4442",1.53161,623,314,286,80,70,25,30,15,15,10,0,5,140,105,85,0,15,406.9,2
"Heart's Hill No. 352","Weak","Saskatchewan","Heartland Regional Health Authority","0.4595",879.05654,244,112,91,40,35,10,15,15,0,0,0,0,20,0,40,10,0,0.3,1
"Eye Hill No. 382","Weak","Saskatchewan","Heartland Regional Health Authority","0.411",835.14061,590,266,210,80,85,30,30,25,15,10,0,0,50,15,80,10,55,0.7,1
"Macklin","Weak","Saskatchewan","Heartland Regional Health Authority","0.4105",3.1398,1374,563,514,135,190,65,75,55,25,10,10,5,200,280,30,10,95,437.6,1
"Tramping Lake No. 380","Weak","Saskatchewan","Heartland Regional Health Authority","0.489",664.90892,375,96,77,35,20,5,10,5,10,5,0,0,20,0,35,0,10,0.6,1
"Reford No. 379","Moderate","Saskatchewan","Heartland Regional Health Authority","0.3299",751.97898,257,119,99,45,30,20,5,5,5,5,0,0,20,0,55,25,0,0.4,2
"Wilkie","Moderate","Saskatchewan","Heartland Regional Health Authority","0.3325",9.47538,1219,581,527,185,125,50,50,20,40,20,10,10,210,295,40,55,0,128.6,2
"Unity","Weak","Saskatchewan","Heartland Regional Health Authority","0.3426",9.98472,2573,1170,1106,335,295,85,125,80,70,40,20,10,470,825,95,35,10,263.5,1
"Senlac No. 411","Moderate","Saskatchewan","Heartland Regional Health Authority","0.4148",1084.47284,216,155,100,40,25,10,5,5,5,5,0,0,35,0,25,0,0,0.2,2
"Manitou Lake No. 442","Moderate","Saskatchewan","Prairie North Regional Health Authority","0.386",958.33982,573,236,209,85,75,20,30,25,15,5,5,0,50,10,75,20,45,0.7,2
"Marsden","Moderate","Saskatchewan","Prairie North Regional Health Authority","0.3908",0.93898,297,132,126,40,35,10,15,10,10,5,5,0,45,30,10,10,20,316.3,2
"Hillsdale No. 440","Moderate","Saskatchewan","Prairie North Regional Health Authority","0.3377",1049.92033,553,178,162,70,55,10,25,20,5,0,0,0,45,0,30,10,15,0.5,2
"Neilburg","Moderate","Saskatchewan","Prairie North Regional Health Authority","0.3413",1.22457,379,175,157,45,55,15,25,10,10,5,5,0,60,115,15,10,30,309.5,2
"Cut Knife No. 439","Weak","Saskatchewan","Prairie North Regional Health Authority","0.3314",659.56776,364,370,163,80,35,10,15,10,10,5,5,0,45,0,75,25,0,0.6,1
"Cut Knife","Moderate","Saskatchewan","Prairie North Regional Health Authority","0.3345",1.99436,573,263,233,60,55,15,25,15,25,10,10,10,115,120,20,50,0,287.3,2
"Poundmaker 114","Moderate","Saskatchewan","Prairie North Regional Health Authority","0.3522",83.16553,547,201,176,20,35,15,10,10,80,30,15,30,85,0,45,10,0,6.8,2
"Little Pine 116","Weak","Saskatchewan","Prairie North Regional Health Authority","0.4423",66.60136,700,220,201,20,60,20,15,25,100,55,25,15,110,45,10,20,0,10.8,1
"Hudson Bay","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.5161",17.34786,1397,779,702,210,130,40,60,25,60,35,15,5,345,385,30,15,10,80.5,1
"Porcupine Plain","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.5084",2.26635,862,392,354,105,85,25,35,20,30,10,15,5,170,205,60,10,10,380.3,1
"Kelvington No. 366","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.4813",916.60715,398,237,176,85,45,20,10,10,0,5,0,0,50,0,95,0,0,0.5,1
"Kelvington","Moderate","Saskatchewan","Kelsey Trail Regional Health Authority","0.471",4.11162,834,478,439,125,65,30,25,15,30,20,10,0,235,230,35,20,0,208.9,2
"Spalding No. 368","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3115",853.26082,453,230,192,90,45,10,20,15,10,0,5,0,55,0,10,70,0,0.6,1
"Spalding","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3118",1.17777,244,152,112,35,20,10,10,5,10,0,0,5,45,20,25,40,0,207.2,1
"Naicam","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.3162",1.79748,661,354,313,105,70,20,30,15,15,10,5,5,135,160,55,40,0,390.8,1
"Barrier Valley No. 397","Moderate","Saskatchewan","Kelsey Trail Regional Health Authority","0.4328",849.504,431,308,182,85,50,25,10,20,10,10,0,0,50,0,155,0,0,0.5,2
"Archerwill","Moderate","Saskatchewan","Kelsey Trail Regional Health Authority","0.4412",0.82603,166,104,82,35,10,5,5,5,10,5,5,0,30,30,30,0,0,200.9,2
"Bjorkdale No. 426","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.4815",1514.3728,851,1046,375,185,75,25,25,25,20,15,5,0,95,20,255,20,0,0.6,1
"Bjorkdale","Moderate","Saskatchewan","Kelsey Trail Regional Health Authority","0.4507",1.38507,201,101,90,25,20,5,10,10,5,5,0,0,40,15,30,0,0,145.1,2
"Tisdale No. 427","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.3455",849.45687,911,365,352,155,115,25,55,30,20,5,5,5,80,0,320,20,10,1.1,1
"Tisdale","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.3437",6.47002,3235,1637,1467,445,340,130,150,60,110,60,40,10,655,1045,110,55,0,500,1
"Star City","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.3383",0.69591,387,201,177,65,40,20,10,5,15,10,5,5,75,10,100,0,0,556.2,1
"Melfort","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.3313",15.09139,5992,2691,2570,730,645,210,275,160,250,135,80,35,1140,1835,160,330,25,405.4,1
"Willow Creek No. 458","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.3499",855.46942,630,318,281,140,60,25,30,10,15,5,5,0,75,55,125,20,0,0.7,1
"Connaught No. 457","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.4317",853.25333,586,253,227,105,80,30,40,15,5,5,0,0,50,0,120,10,0,0.7,1
"Zenon Park","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.4623",0.55471,194,88,82,25,20,5,5,5,5,0,5,0,50,10,30,0,0,349.5,1
"Nipawin No. 487","Moderate","Saskatchewan","Kelsey Trail Regional Health Authority","0.4321",909.90863,1004,440,401,185,115,40,35,35,15,5,5,5,105,10,270,20,0,1.1,2
"Nipawin","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.4315",8.71425,4401,2042,1920,600,420,145,160,115,185,85,60,40,865,1295,140,35,10,505,1
"Torch River No. 488","Moderate","Saskatchewan","Kelsey Trail Regional Health Authority","0.3518",5266.46303,1471,740,622,295,145,55,45,40,45,30,10,5,185,35,285,40,10,0.3,2
"Shoal Lake 28A","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.6011",14.6068,424,118,115,15,50,20,10,20,50,25,10,10,40,35,20,10,0,29,1
"Yellowquill 90","Weak","Saskatchewan","Kelsey Trail Regional Health Authority","0.4863",60.66937,436,121,110,5,40,15,5,20,55,25,15,15,85,50,15,0,0,7.4,1
"St. Peter No. 369","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3009",843.35583,773,300,277,115,115,35,45,35,10,5,5,0,50,10,195,55,0,0.9,1
"Englefeld","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3044",0.64895,285,117,107,35,40,10,15,15,5,5,5,0,25,35,30,50,0,439.3,1
"Muenster","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3011",1.33042,430,184,176,65,50,20,15,15,10,0,5,5,70,45,110,45,0,323.2,1
"Lake Lenore","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.3446",0.96957,284,128,117,30,40,10,20,10,10,5,5,0,50,65,80,10,0,292.9,2
"Humboldt No. 370","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3235",840.39128,935,432,365,165,115,35,50,30,20,5,5,5,75,10,265,30,0,1.2,1
"Humboldt","Weak","Saskatchewan","Saskatoon Regional Health Authority","0.3164",13.6615,5869,2582,2457,805,650,235,250,165,180,105,50,20,1000,1855,205,355,20,435.7,1
"Bayne No. 371","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2887",853.57351,467,206,189,70,70,30,30,10,5,5,0,0,50,0,65,25,0,0.6,2
"Bruno","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.3104",0.96956,611,286,270,95,50,20,15,20,15,10,5,0,120,55,60,50,10,645.2,2
"Grant No. 372","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2966",717.87457,466,187,168,65,60,20,20,25,10,5,5,5,45,0,45,65,0,0.7,2
"Prud'Homme","Strong","Saskatchewan","Saskatoon Regional Health Authority","0.3047",0.84034,167,78,71,25,20,5,10,5,0,0,0,0,30,0,25,20,10,198.7,3
"Vonda","Strong","Saskatchewan","Saskatoon Regional Health Authority","0.2773",2.86366,384,155,148,45,45,10,20,10,20,10,10,0,55,80,20,55,0,134.4,3
"Laird No. 404","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2647",762.95311,1387,415,400,150,190,50,60,80,20,10,5,5,75,0,105,245,0,1.9,2
"Hepburn","Strong","Saskatchewan","Saskatoon Regional Health Authority","0.2732",1.02458,688,246,241,55,115,45,40,30,15,5,0,5,65,45,30,130,10,671.6,3
"Waldheim","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2803",1.96955,1213,424,415,145,150,35,60,55,25,15,5,5,145,160,30,160,0,615.9,2
"Laird","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2945",1.28621,267,118,116,40,25,10,10,5,10,0,5,5,55,35,40,40,10,207.6,2
"Rosthern No. 403","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2546",982.97385,2300,707,684,230,345,90,120,130,30,15,10,5,130,25,345,290,10,2.4,2
"Rosthern","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2866",4.30635,1688,747,689,230,175,60,55,60,65,45,10,5,255,295,90,170,0,392,2
"Hague","Strong","Saskatchewan","Saskatoon Regional Health Authority","0.2652",1.17012,874,339,333,95,115,35,40,40,25,10,5,5,110,135,25,175,0,746.9,3
"Fish Creek No. 402","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.3083",619.79227,345,167,144,45,45,15,10,15,5,5,0,5,55,0,60,30,0,0.6,2
"Alvena","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2828",0.42971,60,46,32,5,5,0,0,5,0,0,0,0,20,0,15,10,0,139.6,2
"Hoodoo No. 401","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2965",850.41547,675,802,293,145,75,25,30,20,10,5,0,0,75,0,125,70,10,0.8,2
"Cudworth","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.3071",2.31046,814,361,334,110,75,30,30,15,20,15,0,5,165,75,80,65,10,368.7,2
"Wakaw","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.2964",3.11861,922,489,425,120,80,25,30,25,30,15,5,10,220,170,50,50,0,295.7,2
"Three Lakes No. 400","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.3426",903.91043,598,340,213,90,65,15,25,20,5,5,0,0,60,0,140,10,0,0.8,2
"Middle Lake","Moderate","Saskatchewan","Saskatoon Regional Health Authority","0.3411",1.26475,241,125,113,40,25,5,10,10,10,10,0,5,45,55,30,0,0,190.5,2
